,freq,Base,lne_4001_8001_1,lne_4001_4204_1,lne_4001_4097_1,lne_4001_4094_1,lne_4001_4090_1,lne_3906_4001_2,lne_3906_4001_1
0,0.2,6.879782613248005,6.879193408491849,6.879786653977333,6.869207250309119,6.870181519266725,6.879634903599859,6.87952724294828,6.87952724294828
1,0.204,6.635644380636599,6.635073367520409,6.635645964607671,6.6254301030562175,6.626378319903309,6.635500985038634,6.635396752537015,6.635396752537015
2,0.208,6.403853956344413,6.403300371687967,6.4038531927216775,6.393985010507712,6.394908259896797,6.403714699330916,6.403613743461508,6.403613743461508
3,0.212,6.18361888800923,6.183082009404335,6.183615880363435,6.174080280180559,6.174979581470302,6.183483603844676,6.183385780685946,6.183385780685946
4,0.216,5.974207012787079,5.973686156894943,5.9742018593839425,5.964984467986666,5.965860776813347,5.974075545083597,5.973980717958516,5.973980717958516
5,0.22,5.774941265635964,5.774435786546409,5.774934059715416,5.766021186991702,5.766875396627552,5.774813466985331,5.774721506119869,5.774721506119869
6,0.224,5.58519497429496,5.584704261963373,5.585185804339861,5.576564403052973,5.5773973455069425,5.58507070591889,5.5849814881134705,5.5849814881134705
7,0.228,5.404387593258613,5.403911072033651,5.404376543252222,5.396034169559804,5.396846616377258,5.404266724680306,5.4041801329964505,5.4041801329964505
8,0.232,5.231980833642165,5.231517960895345,5.231967983313994,5.223892758109422,5.224685420825898,5.231863242381622,5.231779165845625,5.231779165845625
9,0.236,5.067475150051496,5.067025414918678,5.067460575111385,5.059641146180573,5.060414676381547,5.067360721346729,5.067279054671934,5.067279054671934
10,0.24,4.910406549421434,4.909969471665843,4.9103903217818985,4.902815826725636,4.903570815658995,4.910295175977532,4.9102158193066625,4.9102158193066625
11,0.244,4.760343690283562,4.759918819290429,4.760325878270576,4.7529859081064725,4.753722885786783,4.760235272051497,4.760158130720564,4.760158130720564
12,0.248,4.616885244090305,4.616472158004454,4.61686591264283,4.609750475970714,4.610469909704492,4.616779688077506,4.616704672402943,4.616704672402943
13,0.252,4.479657493078923,4.479255798098718,4.479636703937546,4.472736191527113,4.473438483775287,4.479554713193845,4.479481738284896,4.479481738284896
14,0.256,4.348312141730364,4.347921471574645,4.3482899536154465,4.34159510325484,4.342280588732365,4.348212058663715,4.348141044262611,4.348141044262611
15,0.26,4.222524321187102,4.222144336756267,4.2225007899669444,4.216002651396283,4.216671593288382,4.222426862332981,4.222357732686207,4.222357732686207
16,0.264,4.101990768063179,4.101621157321771,4.101965946912665,4.0956558466587865,4.09630843180777,4.1018958674841945,4.101828551249248,4.101828551249248
17,0.268,3.9864281609293606,3.9860686390459628,3.986402100479633,3.980271606409667,3.980907939294503,3.9863357593709345,3.986270189564437,3.986270189564437
18,0.272,3.875571599405338,3.875221909196927,3.875544347885035,3.8695852333106915,3.8702053286017564,3.875481644365837,3.8754177583609164,3.8754177583609164
19,0.276,3.769173212256355,3.7688331249995786,3.7691448156250034,3.763349022821204,3.763952796243032,3.769085658121629,3.7690233977052805,3.7690233977052805
20,0.28,3.6670008821893845,3.6666701988815253,3.6669713842635496,3.6613309873197073,3.661918244492217,3.66691569044268,3.6668550019475927,3.6668550019475927
21,0.284,3.5688370761902366,3.568515629369614,3.5688065187631093,3.563313685766179,3.563884108616337,3.5687542157114045,3.568695050241925,3.568695050241925
22,0.288,3.474477771258933,3.4741654275292846,3.4744461942140914,3.469093148864071,3.469646279100546,3.474397218730093,3.4743395325089255,3.4743395325089255
23,0.292,3.3837314663222546,3.383428129769,3.383698907742497,3.378477890592054,3.3790131096090184,3.383653206759996,3.383596961631419,3.383596961631419
24,0.296,3.2964182720033164,3.2961238887389284,3.296384768275553,3.291287997768907,3.2918045021837092,3.2963422994380496,3.296287463575057,3.296287463575057
25,0.3,3.2123690709687747,3.2120836350901527,3.212334656886212,3.207354289996602,3.2078510618188076,3.2122953892856163,3.212241938161932,3.212241938161932
26,0.304,3.131424743102408,3.131148304357212,3.1313894519653616,3.126517542900045,3.1269933130626355,3.1313533670343947,3.1313012847352923,3.1313012847352923
27,0.308,3.053435452485139,3.053168125861238,3.0533993162017734,3.0486277680506007,3.0490809716898837,3.0533664086871593,3.0533156896378926,3.0533156896378926
28,0.312,2.9782599984327938,2.978001975568113,2.9782230476202973,2.9735435433292046,2.973972264756255,2.978193326421667,2.9781439775915235,2.9781439775915235
29,0.316,2.9057652426626106,2.905516804175902,2.905727506746786,2.9011313877693614,2.901533292507165,2.9057009951171846,2.9056530386754438,2.9056530386754438
30,0.32,2.835825640340263,2.835587166585789,2.835787147645425,2.831265175165537,2.83163742570832,2.8357638817425443,2.835717357944072,2.835717357944072
31,0.324,2.768322918642526,2.7680948939500882,2.768283696451813,2.7638255810562553,2.7641647321316904,2.7682637205615883,2.7682186902803783,2.7682186902803783
32,0.328,2.7031459337937447,2.7029289373412686,2.7031060083443426,2.698699558377294,2.699001426495627,2.703089364837506,2.7030459107465985,2.7030459107465985
33,0.332,2.6401906292325203,2.639985308789845,2.64015002560699,2.6357798387437965,2.636039339851039,2.640136739457798,2.6400949648575858,2.6400949648575858
34,0.336,2.5793597709487717,2.579166809310668,2.5793185128699565,2.574964460113792,2.5751754085980396,2.579308576398329,2.5792686018282303,2.5792686018282303
35,0.34,2.520561976787518,2.5203820764756983,2.520520086438261,2.516156329030996,2.5163111918077328,2.520513457812656,2.520475416939704,2.520475416939704
36,0.344,2.463710045928795,2.463543938705943,2.46366754399455,2.459262836385397,2.4593524377787532,2.463664172451427,2.4636282054765974,2.4636282054765974
37,0.348,2.4087196252278797,2.4085680380500185,2.4086765312216603,2.404195548788274,2.404208723363011,2.4086764058602785,2.4086426375035366,2.4086426375035366
