,freq,Base,lne_4001_8001_1,lne_4001_4204_1,lne_4001_4097_1,lne_4001_4094_1,lne_4001_4090_1,lne_3906_4001_2,lne_3906_4001_1
0,0.2,6.137723284,6.014955197,6.137724594,6.066729955,6.073377194,6.105116594,6.085424494,6.085424494
1,0.204,5.917776831,5.799116396,5.917778023,5.84915068,5.855617067,5.886178054,5.867212285,5.867212285
2,0.208,5.709112955,5.594375444,5.709114034,5.642746637,5.649040158,5.678476547,5.660204811,5.660204811
3,0.212,5.510994267,5.400004844,5.510995239,5.446785978,5.452914135,5.4812771,5.463668837,5.463668837
4,0.216,5.322740787,5.215333955,5.322741657,5.260593933,5.26656376,5.293902013,5.276928307,5.276928307
5,0.22,5.143724846,5.039743917,5.143725619,5.083547716,5.089365796,5.115725766,5.099359254,5.099359254
6,0.224,4.973366487,4.872663074,4.973367167,4.915071945,4.920744425,4.946170428,4.930385208,4.930385208
7,0.228,4.811129307,4.71356285,4.8111299,4.754634495,4.760167098,4.784701508,4.769473058,4.769473058
8,0.232,4.65651671,4.561954014,4.656517218,4.601742754,4.607140788,4.630824204,4.616129301,4.616129301
9,0.236,4.5090685,4.417383314,4.509068928,4.45594024,4.461208607,4.484080014,4.469896661,4.469896661
10,0.24,4.368357815,4.279430423,4.368358166,4.316803532,4.321946732,4.344043666,4.330351022,4.330351022
11,0.244,4.233988331,4.147705175,4.233988609,4.183939494,4.188961625,4.210320334,4.197098645,4.197098645
12,0.248,4.105591739,4.021845057,4.105591948,4.056982752,4.061887511,4.082543115,4.069773656,4.069773656
13,0.252,3.982825444,3.901512938,3.982825587,3.935593404,3.940384079,3.960370736,3.948035752,3.948035752
14,0.256,3.865370476,3.786394997,3.865370556,3.819454935,3.824134398,3.843485471,3.83156812,3.83156812
15,0.26,3.75292959,3.67619884,3.752929609,3.708272321,3.712843011,3.731591239,3.720075547,3.720075547
16,0.264,3.645225528,3.570651789,3.645225489,3.601770298,3.606234203,3.624411877,3.613282686,3.613282686
