,freq,Base,lne_4001_8001_1,lne_4001_4204_1,lne_4001_4097_1,lne_4001_4094_1,lne_4001_4090_1,lne_3906_4001_2,lne_3906_4001_1
0,0.2,7.214087878067092,7.21408785107266,7.214087878067092,7.214087540317815,7.214087568121652,7.214087878067092,7.2140878627211995,7.2140878627211995
1,0.204,6.959022196714637,6.959022170190961,6.959022196714637,6.959021867037415,6.959021894481495,6.959022196714637,6.9590221816513775,6.9590221816513775
2,0.208,6.716773269199836,6.716773243121337,6.716773269199836,6.716772947213287,6.716772974320716,6.716773269199836,6.716773254404912,6.716773254404912
3,0.212,6.486525497782587,6.486525472125056,6.486525497782587,6.486525183121848,6.486525209914004,6.486525497782587,6.48652548324255,6.48652548324255
4,0.216,6.267524660654144,6.26752463539475,6.267524660654144,6.2675243529699936,6.267524379466399,6.267524660654144,6.2675246463564065,6.2675246463564065
5,0.22,6.059072703324417,6.05907267844175,6.059072703324417,6.059072402282374,6.059072428500492,6.059072703324417,6.059072689257278,6.059072689257278
6,0.224,5.860523008534804,5.860522984008898,5.860523008534804,5.860522713814209,5.860522739769202,5.860523008534804,5.860522994687473,5.860522994687473
7,0.228,5.671276099239954,5.671276075052356,5.671276099239954,5.671275810533031,5.67127583623744,5.671276099239954,5.671276085602596,5.671276085602596
8,0.232,5.490775733340982,5.490775709474837,5.490775733340982,5.490775450351885,5.490775475815229,5.490775733340982,5.490775719904783,5.490775719904783
9,0.236,5.318505352702005,5.318505329142177,5.318505352702005,5.318505075145832,5.31850510037409,5.318505352702005,5.318505339459245,5.318505339459245
10,0.24,5.1539848525342835,5.153984829267493,5.1539848525342835,5.153984580136039,5.1539846051309945,5.1539848525342835,5.153984839478427,5.153984839478427
11,0.244,4.9967676404909405,4.996767617505992,4.9967676404909405,4.996767372984478,4.996767397742882,4.9967676404909405,4.996767627616787,4.996767627616787
12,0.248,4.846437957790424,4.846437935078441,4.846437957790424,4.846437694917271,4.846437719429784,4.846437957790424,4.846437945094255,4.846437945094255
13,0.252,4.702608437392657,4.7026084149474325,4.702608437392657,4.702608178900776,4.702608203150606,4.702608437392657,4.702608424872458,4.702608424872458
14,0.256,4.5649178767058,4.564917854524206,4.5649178767058,4.564917622348184,4.564917646309363,4.5649178767058,4.564917864361504,4.564917864361504
15,0.26,4.433029204521208,4.433029182603747,4.433029204521208,4.433028954054313,4.433028977689467,4.433029204521208,4.433029192355034,4.433029192355034
16,0.264,4.306627623878656,4.306627602230143,4.306627623878656,4.306627377060592,4.306627400318097,4.306627623878656,4.306627611895525,4.306627611895525
17,0.268,4.1854189143710885,4.185418893001535,4.1854189143710885,4.185418670959491,4.185418693769764,4.1854189143710885,4.185418902579139,4.185418902579139
18,0.272,4.069127879025693,4.069127857951422,4.069127879025693,4.0691276387751785,4.069127661045886,4.069127879025693,4.069127867436937,4.069127867436937
19,0.276,3.9574969223626573,3.957496901607723,3.9574969223626573,3.9574966850217304,3.9574967066315194,3.9574969223626573,3.9574969109938136,3.9574969109938136
20,0.28,3.8502847475499804,3.8502847271479603,3.8502847475499804,3.850284512857198,3.8502845336474647,3.8502847475499804,3.8502847364235366,3.8502847364235366
21,0.284,3.747265161756595,3.747265141752775,3.747265161756595,3.7472649294357008,3.747264949199747,3.747265161756595,3.747265150902166,3.747265150902166
22,0.288,3.6482259798699475,3.6482259603238636,3.6482259798699475,3.648225749623554,3.6482257680921917,3.6482259798699475,3.648225969326011,3.648225969326011
23,0.292,3.5529680177002265,3.5529679986883864,3.5529680177002265,3.5529677892013667,3.5529678060237524,3.5529680177002265,3.5529680075163954,3.5529680075163954
24,0.296,3.461304166652269,3.461304148270838,3.461304166652269,3.4613039395328977,3.4613039542508277,3.461304166652269,3.4613041568922247,3.4613041568922247
25,0.3,3.373058542617363,3.3730585249853524,3.373058542617363,3.3730583164528767,3.373058328465919,3.373058542617363,3.3730585333626686,3.3730585333626686
26,0.304,3.2880657025298734,3.2880656857952957,3.2880657025298734,3.2880654768191047,3.288065485336635,3.2880657025298734,3.288065693884849,3.288065693884849
27,0.308,3.2061699226588245,3.20616990701104,3.2061699226588245,3.2061696967982662,3.206169700772967,3.2061699226588245,3.2061699147567206,3.2061699147567206
28,0.312,3.1272245332708573,3.1272245189584575,3.1272245332708573,3.127224306517679,3.1272243045538946,3.1272245332708573,3.1272245262815805,3.1272245262815805
29,0.316,3.0510913048071244,3.051091292156599,3.0510913048071244,3.05109107621932,3.0510910664478725,3.0510913048071244,3.0510912989466883,3.0510912989466883
30,0.32,2.9776398811668963,2.9776398705995115,2.9776398811668963,2.977639649502949,2.9776396294108762,2.9776398811668963,2.9776398767082477,2.9776398767082477
31,0.324,2.9067472561017857,2.9067472481489784,2.9067472561017857,2.9067470196529226,2.906746985854207,2.9067472561017857,2.9067472533859293,2.9067472533859293
32,0.328,2.838297289096797,2.838297284413562,2.838297289096797,2.8382970454129692,2.8382969933484143,2.838297289096797,2.838297288542667,2.838297288542667
33,0.332,2.7721802574326984,2.7721802568095826,2.7721802574326984,2.7721800029059542,2.7721799264738247,2.7721802574326984,2.7721802595460763,2.7721802595460763
