time,value,PowerTranfer,peak,mean,t_stablility,stability
0.0,125.96397237303252,637.5564212429783,126.68286770678947,126.03224458796994,60.0,0.0
0.01,125.96397239830446,637.5564209957349,,,,
0.02,125.96397255581192,637.5564201837551,,,,
0.03,125.96397305131131,637.5564187415199,,,,
0.04,125.96397415190876,637.5564167035442,,,,
0.05,125.96397615712748,637.5564140354476,,,,
0.06,125.96397938978383,637.5564106814566,,,,
0.07,125.96398418925105,637.5564065777553,,,,
0.08,125.96399090561626,637.5564016495441,,,,
0.09,125.96399989473593,637.5563958093593,,,,
0.1,125.96401151352393,637.5563889603658,,,,
0.11,125.9640261154641,637.5563809947739,,,,
0.125,125.96405442229519,637.5563674829377,,,,
0.14,125.96409134893766,637.5563501572535,,,,
0.155,125.96413795423545,637.5563290055246,,,,
0.17,125.96419521405417,637.5563035066943,,,,
0.185,125.96426401393774,637.5562729938598,,,,
0.2,125.96434514260713,637.5562367369049,,,,
0.215,125.96443929334008,637.5561939340135,,,,
0.23,125.96454707118896,637.5561436914431,,,,
0.245,125.96466900211932,637.5560850353562,,,,
0.26,125.96480554507806,637.5560169125357,,,,
0.275,125.96495710731534,637.5559381710036,,,,
0.297,125.96521349576165,637.5558050823934,,,,
0.32,125.96550576502293,637.5556348978403,,,,
0.342,125.96583515917956,637.5554278358863,,,,
0.365,125.96620301795866,637.5551790261043,,,,
0.387,125.96661085065992,637.5548821290713,,,,
0.41,125.96706036949007,637.5545304792349,,,,
0.432,125.96755349316082,637.5541168681547,,,,
0.455,125.96809232709003,637.5536334015538,,,,
0.477,125.9686790929624,637.5530716706909,,,,
0.5,125.96931605832475,637.5524227906242,,,,
0.522,125.97000544370648,637.5516771402422,,,,
0.556,125.97114298241232,637.5504238744779,,,,
0.59,125.97241005285086,637.5488349477669,,,,
0.624,125.97381142711718,637.5469266841114,,,,
0.657,125.97534944994113,637.5446633355056,,,,
0.691,125.97702447315788,637.541996622591,,,,
0.725,125.97883495414804,637.5388839167468,,,,
0.759,125.98077867121353,637.5352751177132,,,,
0.792,125.98285221841738,637.5308383203109,,,,
0.826,125.98505044109105,637.526386931501,,,,
0.86,125.98736968191956,637.5206680028288,,,,
0.894,125.9898095623534,637.5149402378698,,,,
0.944,125.993698284222,637.5040331818095,,,,
0.995,125.99785521884739,637.4916692181578,,,,
1.0,125.998290715859,637.4902561213011,,,,
1.005,125.99874885460704,344.7052696027938,,,,
