time,value,PowerTranfer,peak,mean,t_stablility,stability
0.0,139.11944836461944,2702.813666204609,157.87524035902612,152.18984420167203,37.537,0.0
0.01,139.11944836512765,2702.813665533221,,,,
0.02,139.11944836794842,2702.8136633733175,,,,
0.03,139.11944837547725,2702.813659900209,,,,
0.04,139.11944838912558,2702.813655214887,,,,
0.05,139.11944840888845,2702.813649264034,,,,
0.06,139.1194484334818,2702.813641959012,,,,
0.07,139.11944846028388,2702.8136331984865,,,,
0.08,139.1194484852581,2702.8136228508947,,,,
0.09,139.11944850286915,2702.8136107648743,,,,
0.1,139.11944850596416,2702.813596780632,,,,
0.11,139.11944848563124,2702.8135807080766,,,,
0.125,139.1194483853387,2702.8135536898258,,,,
0.14,139.11944816331857,2702.813519593752,,,,
0.155,139.1194477634536,2702.813478503681,,,,
0.17,139.11944711614197,2702.8134294903684,,,,
0.185,139.1194461377464,2702.813371383776,,,,
0.2,139.11944472920013,2702.8133029378046,,,,
0.215,139.1194427747601,2702.813222712117,,,,
0.23,139.11944014091222,2702.813129120775,,,,
0.245,139.11943667520052,2702.8130204953345,,,,
0.26,139.11943220517585,2702.812894940108,,,,
0.275,139.1194265375215,2702.812750436301,,,,
0.297,139.1194152796383,2702.8125070243755,,,,
0.32,139.11940002279385,2702.8121972245417,,,,
0.342,139.1193798293797,2702.8118220403157,,,,
0.365,139.11935363610016,2702.8113727586606,,,,
0.387,139.1193202598555,2702.810838033474,,,,
0.41,139.1192783970371,2702.8102065797266,,,,
0.432,139.11922662687567,2702.809465342558,,,,
0.455,139.11916341739465,2702.808600596113,,,,
0.477,139.11908713182058,2702.8075975683287,,,,
0.5,139.11899603800055,2702.8064402612727,,,,
0.522,139.11888831971208,2702.8051120361793,,,,
0.556,139.11869108164763,2702.802881682605,,,,
0.59,139.11844541701203,2702.8000533566674,,,,
0.624,139.1181444297147,2702.796664365157,,,,
0.657,139.11778120186824,2702.792647002212,,,,
0.691,139.11734891424578,2702.7879160940993,,,,
0.725,139.11684097521385,2702.78239835294,,,,
0.759,139.11625118871223,2702.7760033159448,,,,
0.792,139.1155745037195,2702.7681408135245,,,,
0.826,139.11480661864329,2702.7602712145635,,,,
0.86,139.1139434898539,2702.7501199576764,,,,
0.894,139.11298206678828,2702.7399926156713,,,,
0.944,139.1113514458481,2702.7206449998916,,,,
0.995,139.10949598425495,2702.6987054659703,,,,
1.0,139.10929110774555,2702.6961962758946,,,,
1.005,139.11168535982523,996.2608627743682,,,,
1.012,139.11872387344397,991.6302067910674,,,,
1.022,139.13761807520729,986.7439097973389,,,,
1.032,139.17006520860892,984.4802294129735,,,,
1.042,139.21722823658604,984.2587684432979,,,,
1.052,139.27978014137318,985.6999541613995,,,,
1.062,139.35805606415664,988.5338719549775,,,,
1.072,139.45216177363778,992.5670746550613,,,,
1.08,139.54373667023646,996.8072812142611,,,,
1.085,139.6031240218902,1965.1096215183816,,,,
1.092,139.68434590129564,1992.294183786692,,,,
1.102,139.80959971099162,2029.6072396827717,,,,
1.112,139.93888135829638,2062.564768130722,,,,
1.122,140.07089667567547,2092.316320945444,,,,
1.132,140.20479179052253,2119.6298443167047,,,,
1.142,140.3400299532473,2145.0749396191363,,,,
1.152,140.47630126853295,2169.03642670001,,,,
1.162,140.6134539922274,2191.7785377042305,,,,
1.172,140.75144476779133,2213.491821093396,,,,
1.182,140.89030193219318,2234.3096949389037,,,,
1.192,141.03010855699753,2254.3078308627646,,,,
1.202,141.17095107892033,2273.594170176207,,,,
1.212,141.31292424911894,2292.1709053238537,,,,
1.222,141.4561406424053,2310.0831698043494,,,,
1.232,141.60069154054355,2327.354235944367,,,,
1.242,141.74665073388277,2344.0034162668944,,,,
1.252,141.89407011228334,2360.0384816849696,,,,
1.262,142.042976408166,2375.4680699006067,,,,
1.272,142.19336918842714,2390.3030887036475,,,,
1.282,142.34521982701165,2404.5466937143274,,,,
1.292,142.4984710202075,2418.203482259921,,,,
1.302,142.65303703863586,2431.2837486021713,,,,
1.312,142.80880463852003,2443.791499054618,,,,
1.322,142.96563422664366,2455.731776080238,,,,
1.332,143.12336147287013,2467.1169688399596,,,,
1.342,143.28179941243195,2477.954522495116,,,,
1.352,143.44074063545563,2488.251514242188,,,,
1.362,143.5999597094406,2498.0232314208492,,,,
1.372,143.75921596746284,2507.2813897239967,,,,
1.382,143.91825626688455,2516.0356218297147,,,,
1.392,144.0768177948707,2524.304026864524,,,,
1.402,144.2346308708624,2532.0989023194593,,,,
1.412,144.39142248850024,2539.4415384244303,,,,
1.422,144.54691910365287,2546.3459285525255,,,,
1.432,144.70084892687407,2552.830856465115,,,,
1.442,144.8529450440543,2558.9155681499083,,,,
1.452,145.00294811054655,2564.6190884747357,,,,
1.462,145.15060884122022,2569.9620903792274,,,,
1.472,145.29569033626828,2574.965808405898,,,,
1.482,145.43797026594598,2579.6508155297583,,,,
1.492,145.57724279451742,2584.0388883965343,,,,
1.502,145.71332027067388,2588.152384446009,,,,
1.512,145.84603473817245,2592.0125389535924,,,,
1.522,145.97523915973088,2595.6413538402994,,,,
1.532,146.10080836758908,2599.0613175705716,,,,
1.542,146.22263982008286,2602.2934561154275,,,,
1.552,146.3406540749099,2605.358992845721,,,,
1.562,146.45479497798414,2608.2795635950483,,,,
1.572,146.56502966736213,2611.0750678499353,,,,
1.582,146.67135597635578,2613.7733276067856,,,,
1.592,146.7737790439303,2616.3717258714887,,,,
1.602,146.87232557673215,2618.907858190724,,,,
1.612,146.96705853627319,2621.3931383034005,,,,
1.622,147.0580534202175,2623.8446409918492,,,,
1.632,147.1454037676917,2626.2778160406224,,,,
1.642,147.22922073653962,2628.7058509597814,,,,
1.652,147.30963185395535,2631.1437780282736,,,,
1.662,147.38677843693057,2633.5991948411092,,,,
1.672,147.46081416666988,2636.086005973358,,,,
1.682,147.53190346538065,2638.614648472573,,,,
1.692,147.600219721769,2641.1884944582057,,,,
1.702,147.6659433480088,2643.8166359652714,,,,
1.712,147.7292600739214,2646.50655635668,,,,
1.722,147.79035547466412,2649.2702822034007,,,,
1.732,147.84942420509057,2652.0753991262827,,,,
1.742,147.9066608246542,2654.9611301929795,,,,
1.752,147.9622511171952,2657.9121995707774,,,,
1.762,148.0163816174486,2660.9279226763956,,,,
1.772,148.06923420062992,2664.0099477007657,,,,
1.782,148.1209849196638,2667.151030872819,,,,
1.792,148.17180265576718,2670.3461387022776,,,,
1.802,148.22184803737886,2673.594438483403,,,,
1.812,148.27127261793834,2676.8866444610094,,,,
1.822,148.3202179322218,2680.214145326094,,,,
1.832,148.36881478029494,2683.57405611166,,,,
1.842,148.4171828301895,2686.9560363037426,,,,
1.852,148.465430114537,2690.3487671965063,,,,
1.862,148.5136526930232,2693.747868290506,,,,
1.872,148.5619346685265,2697.1428900717883,,,,
1.882,148.6103481143281,2700.5207927039446,,,,
1.892,148.65895309036728,2703.876230989594,,,,
1.902,148.70779802350188,2707.199533534942,,,,
