time,value,PowerTranfer,peak,mean,t_stablility,stability
0.0,151.31032683916152,1554.6995128305578,178.9354849803892,170.38994456668675,55.409,0.0
0.01,151.3103268397429,1554.6995123132024,,,,
0.02,151.3103268428265,1554.6995112395516,,,,
0.03,151.31032685085455,1554.6995095670284,,,,
0.04,151.31032686530037,1554.699507345364,,,,
0.05,151.31032688626908,1554.699504552173,,,,
0.06,151.31032691257974,1554.6995011508081,,,,
0.07,151.31032694170864,1554.6994970998412,,,,
0.08,151.31032696970982,1554.6994923420934,,,,
0.09,151.31032699113118,1554.6994868124273,,,,
0.1,151.3103269988937,1554.6994804442727,,,,
0.11,151.3103269841487,1554.6994731550744,,,,
0.125,151.31032689414008,1554.6994609393919,,,,
0.14,151.3103266847641,1554.6994456086763,,,,
0.155,151.31032629988107,1554.6994272144077,,,,
0.17,151.31032566982785,1554.6994053489689,,,,
0.185,151.31032471078873,1554.6993795054154,,,,
0.2,151.3103233233851,1554.6993491478759,,,,
0.215,151.3103213914085,1554.6993136410922,,,,
0.23,151.31031878070894,1554.6992722913647,,,,
0.245,151.31031533800322,1554.6992243770626,,,,
0.26,151.3103108898027,1554.6991690577156,,,,
0.275,151.31030524151592,1554.699105467231,,,,
0.297,151.31029400443694,1554.6989983841772,,,,
0.32,151.31027875314177,1554.6988621835953,,,,
0.342,151.31025854223375,1554.6986973681915,,,,
0.365,151.31023229895442,1554.6985000494778,,,,
0.387,151.31019882894753,1554.6982651890853,,,,
0.41,151.31015681546813,1554.6979878820505,,,,
0.432,151.31010482258264,1554.6976623424512,,,,
0.455,151.3100413011361,1554.69728228417,,,,
0.477,151.30996459527842,1554.6968413863635,,,,
0.5,151.30987295175737,1554.696332398634,,,,
0.522,151.30976453115832,1554.6957479608864,,,,
0.556,151.3095658929436,1554.6947661068616,,,,
0.59,151.30931833307312,1554.6935187103945,,,,
0.624,151.30901485363654,1554.6920236918077,,,,
0.657,151.30864842734826,1554.6902495318052,,,,
0.691,151.30821211990462,1554.6881582503856,,,,
0.725,151.30769921981596,1554.6857174871059,,,,
0.759,151.30710340947257,1554.6828847607928,,,,
0.792,151.30641953614642,1554.6793969464159,,,,
0.826,151.3056431772648,1554.6759088895647,,,,
0.86,151.30477018237718,1554.671393106535,,,,
0.894,151.30379739208777,1554.6668948801798,,,,
0.944,151.30214671236737,1554.6582733748562,,,,
0.995,151.30026742975213,1554.6484846941019,,,,
1.0,151.3000598091031,1554.6473632409998,,,,
1.005,151.3026338930035,898.1019186003309,,,,
1.012,151.3101717233962,896.4967412545052,,,,
1.022,151.33036243105386,895.4476829473894,,,,
1.032,151.36497714836008,896.2057173145388,,,,
1.042,151.41524153780153,898.4719160679938,,,,
1.052,151.48187737404024,902.0401980163882,,,,
1.062,151.5652597994475,906.7610635337411,,,,
1.072,151.66552958027066,912.5173792404061,,,,
1.08,151.76314977497972,918.1014416159197,,,,
1.085,151.82654157770241,2277.1573482338727,,,,
1.092,151.91336456472544,2304.886506028405,,,,
1.102,152.04753175214563,2343.7170281224367,,,,
1.112,152.18648285268733,2378.484890820059,,,,
1.122,152.32892612289444,2410.3436648458464,,,,
1.132,152.47402827335372,2439.9644249415906,,,,
1.142,152.6212810125004,2467.849790277726,,,,
1.152,152.77040784227708,2494.3385109361993,,,,
1.162,152.92129288394753,2519.662125199599,,,,
1.172,153.07392925711122,2543.9888433938536,,,,
1.182,153.2283809799853,2567.435165711289,,,,
1.192,153.38475452847013,2590.0756331834214,,,,
1.202,153.54317743547503,2611.967458371753,,,,
1.212,153.7037824687181,2633.1508780927616,,,,
1.222,153.86669576998634,2653.646289360799,,,,
1.232,154.03202782874254,2673.4720370402983,,,,
1.242,154.19986699229162,2692.6433349798253,,,,
1.252,154.37027480802152,2711.1633516469146,,,,
1.262,154.54328258488425,2729.037812492886,,,,
1.272,154.71888929534703,2746.2754284497996,,,,
1.282,154.8977012862077,2763.168893512372,,,,
1.292,155.07901719512313,2778.824155096967,,,,
1.302,155.26209382205195,2794.1839737931214,,,,
1.312,155.44742900575505,2808.9182388042827,,,,
1.322,155.63485693997518,2823.033188955526,,,,
1.332,155.82420020648127,2836.5225192197513,,,,
1.342,156.01521852308542,2849.4592912564563,,,,
1.352,156.20764723578037,2861.7786070401253,,,,
1.362,156.40123529413682,2873.524846273029,,,,
1.372,156.5956947265914,2884.710135381619,,,,
1.382,156.79072165775727,2895.344715021654,,,,
1.392,156.98599917555157,2905.445796529535,,,,
1.402,157.18120154458862,2915.034622753983,,,,
1.412,157.3759974524127,2924.1259372372037,,,,
1.422,157.57005251598116,2932.7378572579532,,,,
1.432,157.7630329995479,2940.890794611917,,,,
1.442,157.95460899844937,2948.605516798139,,,,
1.452,158.14445754911716,2955.9024846378215,,,,
1.462,158.332265526354,2962.8040888710684,,,,
1.472,158.51774986355983,2969.326191734038,,,,
1.482,158.70060766525808,2975.51662807807,,,,
1.492,158.8805533526458,2981.366920539623,,,,
1.502,159.05735592859426,2986.9141041437,,,,
1.512,159.23078852229807,2992.180578810867,,,,
1.522,159.40064722951703,2997.1896615594155,,,,
1.532,159.5667523999134,3001.965093402695,,,,
1.542,159.72894971808324,3006.5289422134583,,,,
1.552,159.88711097265158,3010.9035971569056,,,,
1.562,160.04113451144383,3015.111808049713,,,,
1.572,160.190945488522,3019.1743226251638,,,,
1.582,160.3365070110916,3023.118199973721,,,,
1.592,160.47778636651054,3026.9484331574085,,,,
1.602,160.61477647370992,3030.695041754136,,,,
1.612,160.7475177744506,3034.3736889089832,,,,
1.622,160.87606406370392,3038.0021453078048,,,,
1.632,161.00049211534503,3041.5960718379424,,,,
1.642,161.12090036774643,3045.1697060900733,,,,
1.652,161.2374074154671,3048.7373262229635,,,,
1.662,161.3501503806914,3052.3111125380346,,,,
1.672,161.4609388381244,3055.8862240322464,,,,
1.682,161.568282925951,3059.542657263166,,,,
1.692,161.6707095177263,3063.1850105021604,,,,
1.702,161.7700700494541,3066.8726075766817,,,,
1.712,161.86656579357054,3070.6097530594875,,,,
1.722,161.9604046182431,3074.4088895759032,,,,
1.732,162.05180258412574,3078.243509796018,,,,
1.742,162.1409788296196,3082.1440565192506,,,,
1.752,162.22815106411707,3086.1001428720174,,,,
1.762,162.31353836268985,3090.1121329134394,,,,
1.772,162.39735756799593,3094.1788257828293,,,,
1.782,162.47982179177797,3098.2959706584606,,,,
1.792,162.56113883027115,3102.4591393950027,,,,
1.802,162.64150978728077,3106.665089892505,,,,
1.812,162.72112789313934,3110.907823512514,,,,
1.822,162.80017731625628,3115.1789171479595,,,,
1.832,162.87883213095864,3119.4735014922217,,,,
1.842,162.95725557356894,3123.784880169362,,,,
1.852,163.03559930539495,3128.101453215617,,,,
1.862,163.11400276093735,3132.4175170959197,,,,
1.872,163.19259284977346,3136.7263285908475,,,,
1.882,163.27148364989853,3141.0130280646335,,,,
1.892,163.3507761594495,3145.275046605868,,,,
1.902,163.43055845729444,3149.5029555515957,,,,
1.912,163.51090575818284,3153.682178519668,,,,
1.922,163.59188047374923,3157.809578118663,,,,
1.932,163.67353274772609,3161.8776948017107,,,,
1.942,163.75590088803676,3165.8718809633096,,,,
1.952,163.83901169777016,3169.7886276632776,,,,
1.962,163.92288125463273,3173.6229526850484,,,,
1.972,164.00749292438164,3177.3531928640364,,,,
1.982,164.09286577771115,3181.001741240805,,,,
1.992,164.17901050980285,3184.5362236549668,,,,
2.002,164.26588508154433,3187.9560802592423,,,,
2.012,164.35346305796244,3191.2573054280574,,,,
2.022,164.441711981658,3194.4401550469297,,,,
2.032,164.53059444366053,3197.4940746831653,,,,
2.042,164.62006878063357,3200.41503367291,,,,
2.052,164.71009001125395,3203.2057336355433,,,,
2.062,164.80061089859714,3205.8580891722277,,,,
2.072,164.89158262686632,3208.3679927843177,,,,
2.082,164.98295562125662,3210.740222958756,,,,
2.092,165.0746805481825,3212.969435180046,,,,
2.102,165.16670891941462,3215.0515292381097,,,,
2.112,165.25896924184084,3216.9808161526507,,,,
2.122,165.3514413312949,3218.792505715231,,,,
2.132,165.44410793571808,3220.442915532387,,,,
2.142,165.5369061468956,3221.9538986987513,,,,
2.152,165.62980147285802,3223.32595196536,,,,
2.162,165.72276378642627,3224.555314216431,,,,
2.172,165.8157675345723,3225.650119604166,,,,
2.182,165.90879223253884,3226.6138591464087,,,,
2.192,166.00182268028763,3227.4433037550507,,,,
2.202,166.0948489527492,3228.1467624755555,,,,
2.212,166.18786667974288,3228.7305128014477,,,,
2.222,166.28087712581228,3229.1920634005805,,,,
2.232,166.37388697882025,3229.539477608004,,,,
2.242,166.46690841876955,3229.781483641328,,,,
2.252,166.55995907575203,3229.916604256943,,,,
2.262,166.65306164957587,3229.9522542314726,,,,
2.272,166.7462437845035,3229.8992528250624,,,,
2.282,166.83953792820483,3229.7573247824994,,,,
2.292,166.9329808250471,3229.532962488041,,,,
2.302,167.02661322447497,3229.238530664793,,,,
2.312,167.11951272783853,3228.9063293231825,,,,
2.322,167.21270096212464,3228.4420475906472,,,,
2.332,167.30719508944267,3227.9673710695233,,,,
2.342,167.4020746367196,3227.4449076623473,,,,
2.352,167.4973952424459,3226.878403938448,,,,
2.362,167.59320160187178,3226.2831102477676,,,,
2.372,167.68956297868704,3225.655612767507,,,,
2.382,167.78654926455962,3225.0100365989947,,,,
2.392,167.8842067999999,3224.3541794539183,,,,
2.402,167.98259321636178,3223.693583590564,,,,
2.412,168.0817653956402,3223.029239811095,,,,
2.422,168.1817788435473,3222.3739624553555,,,,
2.432,168.28268746138224,3221.734464454149,,,,
2.442,168.38454309995012,3221.1103765914304,,,,
2.452,168.48739498710395,3220.512892692591,,,,
2.462,168.59128954414803,3219.9497632516723,,,,
2.472,168.69627006452092,3219.419426945321,,,,
2.482,168.80237619476196,3218.930990933275,,,,
2.492,168.90964380128025,3218.492943391962,,,,
2.502,169.018104787445,3218.1028036042926,,,,
2.512,169.12778665212574,3217.767218846865,,,,
2.522,169.23871240702476,3217.4950806784373,,,,
2.532,169.35090053518294,3217.283305014642,,,,
2.542,169.4643646446779,3217.135856339742,,,,
2.552,169.57911343187305,3217.0616836104728,,,,
2.562,169.69515077436708,3217.0574564495373,,,,
2.572,169.81247549072503,3217.124403824935,,,,
2.582,169.93108134143586,3217.2711765648546,,,,
2.592,170.05095724071637,3217.4945796303646,,,,
2.602,170.1720871267259,3217.7932175977635,,,,
2.612,170.29444998993853,3218.1751114687413,,,,
2.622,170.41802018142147,3218.637573098831,,,,
2.632,170.54276739211716,3219.1768476124525,,,,
2.642,170.66865669774953,3219.800027709349,,,,
2.652,170.7956489365394,3220.5052782679727,,,,
2.662,170.9237007910352,3221.2868586289032,,,,
2.672,171.05276483943604,3222.1506882256335,,,,
2.682,171.18278997334778,3223.0960313010655,,,,
2.692,171.31372157141607,3224.11570073492,,,,
2.702,171.4455015486888,3225.214221801068,,,,
2.712,171.5780687847622,3226.3921409615286,,,,
2.722,171.71135937517835,3227.6413703301864,,,,
2.732,171.84530667300567,3228.9648932216724,,,,
2.742,171.9798416994917,3230.3646349572527,,,,
2.752,172.11489853879488,3231.83267992823,,,,
2.762,172.25039914638614,3233.3650612321726,,,,
2.772,172.3862640347067,3234.974976934317,,,,
2.782,172.52242250003076,3236.648865446728,,,,
2.792,172.65879730126818,3238.3865447614567,,,,
2.802,172.79531033088594,3240.1924954908172,,,,
2.812,172.93188294610925,3242.059324082251,,,,
2.822,173.06843597306627,3243.9851674933243,,,,
2.832,173.20488993310767,3245.975401942238,,,,
2.842,173.34116542691095,3248.023820789434,,,,
2.852,173.47718313849217,3250.127020048525,,,,
2.862,173.61286398012527,3252.29097768269,,,,
2.872,173.7481294672781,3254.5110054257984,,,,
2.882,173.88290172516272,3256.7823811048042,,,,
2.892,174.01710354829245,3259.1112445858234,,,,
2.902,174.15065874914342,3261.4946844085157,,,,
2.912,174.2834921726255,3263.9268435773133,,,,
2.922,174.41552967341846,3266.4136220194923,,,,
2.932,174.54669842438736,3268.9539589668957,,,,
2.942,174.67692694489097,3271.5411617483537,,,,
2.952,174.8050880916264,3274.156071572245,,,,
2.962,174.93216770998612,3276.867981511383,,,,
2.972,175.05915536348527,3279.6026993466876,,,,
2.982,175.18493098760544,3282.3872166434394,,,,
2.992,175.3094308745199,3285.2239635600963,,,,
3.002,175.43259254734795,3288.1054916244866,,,,
3.012,175.55435500765776,3291.0345044949195,,,,
3.022,175.6746588640455,3294.0148774398062,,,,
3.032,175.79344642587495,3297.039203560184,,,,
3.042,175.91066147622882,3300.1083882865105,,,,
3.052,176.02624934450122,3303.2273875859582,,,,
3.062,176.1401570338493,3306.389159815195,,,,
3.072,176.2523329933269,3309.592693546162,,,,
3.082,176.3627271305401,3312.8435193113282,,,,
3.092,176.4712909657606,3316.1352885227207,,,,
3.102,176.57797741841944,3319.4649611704094,,,,
3.112,176.68274076185196,3322.8382202844673,,,,
3.122,176.78553679796173,3326.249633411103,,,,
3.132,176.8863226739803,3329.6941216541636,,,,
3.142,176.98505678571976,3333.177036695931,,,,
3.152,177.08169896601862,3336.693978140744,,,,
3.162,177.17621034576268,3340.2380670665525,,,,
3.172,177.26855321441664,3343.813790620138,,,,
3.182,177.35869121405153,3347.4179040228114,,,,
3.192,177.44658925551624,3351.0419008606914,,,,
3.202,177.53221334692128,3354.688998645445,,,,
3.212,177.61553078383068,3358.357124823199,,,,
3.222,177.6965101271963,3362.0364837086727,,,,
3.232,177.77512101131916,3365.728653796312,,,,
3.242,177.85133432013419,3369.4326837079425,,,,
3.252,177.925122229146,3373.137895789033,,,,
3.262,177.99645800477103,3376.843960398335,,,,
3.272,178.0653161566406,3380.5509308200926,,,,
3.282,178.13167254133305,3384.247709381772,,,,
3.292,178.19550416486956,3387.9318900096982,,,,
3.302,178.25678930169389,3391.6043864822846,,,,
3.312,178.31550765381508,3395.2541597225945,,,,
3.322,178.37164016752223,3398.8767322358894,,,,
3.332,178.42516911117144,3402.4736027027,,,,
3.342,178.47626850086073,3406.047996404645,,,,
3.352,178.5247203984996,3409.557871387417,,,,
3.362,178.57032142571225,3413.0375275398565,,,,
3.372,178.61326306672566,3416.4671601343452,,,,
3.382,178.6535350322901,3419.8386973815723,,,,
3.392,178.69114445159954,3423.1547433779765,,,,
3.402,178.7260684825321,3426.4046787196044,,,,
3.412,178.75828598794251,3429.581125711209,,,,
3.422,178.78780909683886,3432.685100925538,,,,
3.432,178.81463593114424,3435.710455917901,,,,
3.442,178.83876637833612,3438.646961616025,,,,
3.452,178.86020200077766,3441.4956423974136,,,,
3.462,178.87894626549576,3444.2522798804084,,,,
3.472,178.89500454757172,3446.9062301372137,,,,
3.482,178.908383980985,3449.4579736222627,,,,
3.492,178.91909365824546,3451.9053565524378,,,,
3.502,178.9271446760524,3454.2378015696195,,,,
3.512,178.93254995487376,3456.4551135800502,,,,
3.522,178.93532439838756,3458.5571715332144,,,,
3.532,178.9354849803892,3460.534024748805,,,,
3.542,178.93305054458287,3462.3847125550337,,,,
3.552,178.9280419145332,3464.1110222608754,,,,
3.562,178.92048201740914,3465.7041338102354,,,,
3.572,178.91039567607316,3467.1622415198653,,,,
3.582,178.89780966249157,3468.4889577545996,,,,
3.592,178.88357733222233,3469.74294226024,,,,
3.602,178.86689066234752,3470.71785732488,,,,
3.612,178.84695811423933,3471.633094461813,,,,
3.622,178.8246531338939,3472.4060450822385,,,,
3.632,178.8000120467558,3473.033876782885,,,,
3.642,178.7730733994806,3473.52269871765,,,,
3.652,178.74387769490494,3473.8695482718663,,,,
3.662,178.712467252138,3474.0708825543124,,,,
3.672,178.67888609321815,3474.133530879466,,,,
3.682,178.64318012061943,3474.05687443474,,,,
3.692,178.60539699797846,3473.8370814564755,,,,
3.702,178.56558597724745,3473.4813848006966,,,,
3.712,178.52379805670628,3472.9915658373097,,,,
3.722,178.48008589913965,3472.3638781270333,,,,
3.732,178.43450361496627,3471.605556043599,,,,
3.742,178.38710689399124,3470.720770250819,,,,
3.752,178.3379529674802,3469.70612283044,,,,
3.762,178.28710035999836,3468.568526857693,,,,
3.772,178.23460898570653,3467.314395781291,,,,
3.782,178.18053297924098,3465.9351074316523,,,,
3.792,178.12494192293218,3464.4574129339253,,,,
3.802,178.0679065131321,3462.86577555452,,,,
3.812,178.0094844053624,3461.1680074285455,,,,
3.822,177.94974147506193,3459.369431916609,,,,
3.832,177.8887445202396,3457.480044312515,,,,
3.842,177.8265613681018,3455.499232635356,,,,
3.852,177.76326061242563,3453.4313985117196,,,,
3.862,177.6989115609668,3451.2877596274857,,,,
3.872,177.633584346553,3449.0691469245403,,,,
3.882,177.56734968017972,3446.778832925491,,,,
3.892,177.50027873987287,3444.428770823765,,,,
3.902,177.4324432955122,3442.0213205687255,,,,
3.912,177.36391548979577,3439.5586568287063,,,,
3.922,177.29476767150743,3437.052878103663,,,,
3.932,177.2250725226906,3434.5079448822958,,,,
3.942,177.15490287662698,3431.9249407842544,,,,
3.952,177.08433150111898,3429.3156045629544,,,,
3.962,177.0134312159563,3426.685417019727,,,,
3.972,176.94227475446678,3424.0345172291,,,,
3.982,176.8712076237044,3421.3754699005876,,,,
3.992,176.80002324503891,3418.709673028232,,,,
4.002,176.72852003682772,3416.0385377605385,,,,
4.012,176.65704750472307,3413.3736079722307,,,,
4.022,176.5856760789947,3410.7225481812548,,,,
4.032,176.5144610855662,3408.0862426634744,,,,
4.042,176.4434862178805,3405.467239068369,,,,
4.052,176.3728342314114,3402.8788474156954,,,,
4.062,176.30255777202717,3400.3184176859013,,,,
4.072,176.23272297998204,3397.7915552929,,,,
