Unnamed: 0,freq,Base,lne_4001_8001_1,lne_4001_4204_1,lne_4001_4097_1,lne_4001_4094_1,lne_4001_4090_1,lne_3906_4001_2,lne_3906_4001_1
0,0.2,6.353050716103963,6.348546607267955,6.353050716103963,6.320920655296712,6.324230766581134,6.353050716103963,6.350932655710765,6.350932655710765
1,0.204,6.126780990865065,6.122420734471535,6.126780990865065,6.095847218705082,6.099067917622468,6.126780990865065,6.124726512373302,6.124726512373302
2,0.208,5.912075850082966,5.9078531023455785,5.912075850082966,5.8822856557105165,5.88542094666487,5.912075850082966,5.910082089012292,5.910082089012292
3,0.212,5.708183040296144,5.70409179820864,5.708183040296144,5.679486441392711,5.68254010233085,5.708183040296144,5.706247282988604,5.706247282988604
4,0.216,5.514408535612185,5.510443119725746,5.514408535612185,5.486758123208249,5.489733715058975,5.514408535612185,5.512528211488156,5.512528211488156
5,0.22,5.3301114086053305,5.326266446556406,5.3301114086053305,5.303462196998061,5.306363072454611,5.3301114086053305,5.328284082734963,5.328284082734963
6,0.224,5.154699196981068,5.150969607838178,5.154699196981068,5.129008479085366,5.131837790658481,5.154699196981068,5.152922563000979,5.152922563000979
7,0.228,4.987623715167812,4.984004694646161,4.987623715167812,4.962850923435167,4.96561163071296,4.987623715167812,4.985895588563344,4.985895588563344
8,0.232,4.828377265276584,4.824864271855439,4.828377265276584,4.804483838169519,4.807178714224747,4.828377265276584,4.826695577043016,4.826695577043016
9,0.236,4.676489206635405,4.673077948604588,4.676489206635405,4.653438460532989,4.656070097418622,4.676489206635405,4.674851997326842,4.674851997326842
10,0.24,4.531522847391279,4.528209270849018,4.531522847391279,4.509279853716869,4.511850666987453,4.531522847391279,4.529928261563093,4.529928261563093
11,0.244,4.39307262551596,4.389852903340636,4.39307262551596,4.371604092817713,4.374116325006971,4.39307262551596,4.391518906565615,4.391518906565615
12,0.248,4.260761549989447,4.257632071812225,4.260761549989447,4.240035710664353,4.242491433638632,4.260761549989447,4.259247035401017,4.259247035401017
13,0.252,4.134238876003617,4.131196239218039,4.134238876003617,4.114225377335895,4.11662649342838,4.134238876003617,4.1327619930035135,4.1327619930035135
14,0.256,4.013177990760512,4.010218992619437,4.013177990760512,3.9938477899461344,3.996196031757476,4.013177990760512,4.011737252395938,4.011737252395938
15,0.26,3.8972744888675193,3.8943961197381936,3.8972744888675193,3.878599751721381,3.8808966804482345,3.8972744888675193,3.895868490525228,3.895868490525228
16,0.264,3.786244418481042,3.783443856357493,3.786244418481042,3.768198421578096,3.770445423700738,3.786244418481042,3.784871834872756,3.784871834872756
17,0.268,3.679822681246321,3.677097287656751,3.679822681246321,3.662379717342216,3.664577999464953,3.679822681246321,3.678482263899209,3.678482263899209
18,0.272,3.577761570742967,3.575108888241629,3.577761570742967,3.560896857467225,3.563047439058837,3.577761570742967,3.576452146050055,3.576452146050055
19,0.276,3.479829435590244,3.47724718709278,3.479829435590244,3.4635190276243377,3.4656227313482804,3.479829435590244,3.478549903497847,3.478549903497847
20,0.28,3.385809454608035,3.383295544921988,3.385809454608035,3.370030159873977,3.3720875991265062,3.385809454608035,3.384558788047076,3.384558788047076
