,freq,Base,lne_4001_8001_1,lne_4001_4204_1,lne_4001_4097_1,lne_4001_4094_1,lne_4001_4090_1,lne_3906_4001_2,lne_3906_4001_1
0,0.2,5.218559245288171,4.886435375843148,5.218559245288171,5.0324802729845635,5.052941126500739,5.218559245288171,5.133438249462246,5.133438249462246
1,0.204,5.0339144235471425,4.715132294818355,5.0339144235471425,4.855314662323705,4.875186280793901,5.0339144235471425,4.951768600559352,4.951768600559352
2,0.208,4.858947128445821,4.552883036691776,4.858947128445821,4.687481001575867,4.706792258852481,4.858947128445821,4.779636458218736,4.779636458218736
3,0.212,4.693009289432899,4.399075996089023,4.693009289432899,4.528351189387489,4.547129252370709,4.693009289432899,4.61640182768056,4.61640182768056
4,0.216,4.5355049104667104,4.253149274098248,4.5355049104667104,4.377347888580042,4.395618318264042,4.5355049104667104,4.4614762699594195,4.4614762699594195
5,0.22,4.385885256726026,4.11458601877219,4.385885256726026,4.233939792426288,4.25172663731357,4.385885256726026,4.314318121193831,4.314318121193831
6,0.224,4.243644535874118,3.9829102529189924,4.243644535874118,4.097637381725458,4.114963263800739,4.243644535874118,4.174428205167361,4.174428205167361
7,0.228,4.108316018556659,3.857683133418036,4.108316018556659,3.9679891170269412,3.9848753104929924,4.108316018556659,4.041345983543182,4.041345983543182
8,0.232,3.979468549301562,3.7384995930410447,3.979468549301562,3.8445780170025885,3.861044519976601,3.979468549301562,3.9146460949044215,3.9146460949044215
9,0.236,3.8567034046789685,3.6249853216361987,3.8567034046789685,3.7270185797845974,3.7430841791377003,3.8567034046789685,3.79393523942949,3.79393523942949
10,0.24,3.73965146056537,3.5167940486529434,3.73965146056537,3.6149540091735517,3.6306363386705574,3.73965146056537,3.6788493710505628,3.6788493710505628
11,0.244,3.6279706347136873,3.4136050934350766,3.6279706347136873,3.508053712065672,3.5233693039286607,3.6279706347136873,3.569051163325141,3.569051163325141
12,0.248,3.521343574631509,3.315121153570578,3.521343574631509,3.4060110373299413,3.4209753673090115,3.521343574631509,3.4642277190662782,3.4642277190662782
13,0.252,3.4194755640687395,3.2210663049194834,3.4194755640687395,3.308541229749956,3.323168755738221,3.4194755640687395,3.3640884970854232,3.3640884970854232
14,0.256,3.322092624262093,3.1311841898001114,3.322092624262093,3.2153795755920895,3.229683769770793,3.322092624262093,3.2683634322515354,3.2683634322515354
15,0.26,3.228939788511669,3.0452363722369746,3.228939788511669,3.126279718919066,3.1402730933627656,3.228939788511669,3.17680122749719,3.17680122749719
16,0.264,3.1397795306975933,2.9630008411838484,3.1397795306975933,3.0410121299763784,3.054706255588687,3.1397795306975933,3.0891677984297505,3.0891677984297505
17,0.268,3.054390329993123,2.884270644245321,3.054390329993123,2.959362708871557,2.972768227459535,3.054390329993123,3.005244852844636,3.005244852844636
18,0.272,2.9725653552901083,2.80885263562352,2.9725653552901083,2.881131509365561,2.8942581385979818,2.9725653552901083,2.9248285886831953,2.9248285886831953
19,0.276,2.894111253705035,2.7365663227955586,2.894111253705035,2.8061315689161037,2.8189880998496615,2.894111253705035,2.847728494812656,2.847728494812656
20,0.28,2.8188470279535918,2.6672427967603007,2.8188470279535918,2.734187832156717,2.74678211895996,2.8188470279535918,2.773766239404763,2.773766239404763
