Gen,f,dmin,dmax,MVA_Gen,Xd_sub,Xq_sub,Td0_sub,Tq0_sub,Rgen,Xgen
sym_4031_H,25,1,-0.01,635,0.2,0.2,0.04,0.06,0.0009,0.2
sym_4035_H,25,1,0.2,635,0.2,0.2,0.04,0.06,0.0009,0.2
