time,value,PowerTranfer,peak,mean,t_stablility,stability
0.0,109.31587352577978,554.6593146556072,114.40122041629888,110.11961903716022,26.172,0.0
0.01,109.31587117208343,554.6098861620228,,,,
0.02,109.31586171089704,554.5326893584357,,,,
0.03,109.31584223302036,554.4531176181584,,,,
0.04,109.31581200162888,554.3859353800535,,,,
0.05,109.31576961821044,554.3101292349727,,,,
0.06,109.31571336628085,554.2291634028253,,,,
0.07,109.31564046100664,554.1438773570873,,,,
0.08,109.31554747704992,554.0458704707775,,,,
0.09,109.31542961396578,553.9455380055659,,,,
0.1,109.31528124931953,553.8293050379546,,,,
0.105,109.31428319315312,308.1663866505348,,,,
0.112,109.3118428576868,310.6701109354292,,,,
0.122,109.30617206402717,313.1094608839512,,,,
0.132,109.29786149862969,313.99560480508694,,,,
0.142,109.28741752172056,314.025699199428,,,,
0.152,109.27525854963898,313.64281980568626,,,,
0.162,109.26172581221448,313.1287871132097,,,,
0.172,109.24710055613664,312.6524212200613,,,,
0.18,109.234184647772,312.3503437472432,,,,
0.185,109.22713864909376,652.851401973119,,,,
0.192,109.21875172434088,631.6217705281655,,,,
0.202,109.20799911474552,608.0952685960619,,,,
0.212,109.19962923791292,594.2201345113735,,,,
0.222,109.19314114392274,586.7227875849866,,,,
0.232,109.18808498407805,583.4168985164938,,,,
0.242,109.18405104389068,582.8503580798839,,,,
0.252,109.18067240052162,584.033214173142,,,,
0.262,109.17762556812798,586.3005745545141,,,,
0.272,109.17462478312952,589.1998765899232,,,,
0.282,109.17142096728855,592.4269697894613,,,,
0.292,109.1677995302168,595.7758267197271,,,,
0.302,109.16357769669182,599.1041835438327,,,,
0.312,109.15860186020268,602.3134595647151,,,,
0.322,109.15274497003668,605.3340391607148,,,,
0.332,109.14590380745386,608.1165535294883,,,,
0.342,109.13799626070131,610.6243534765579,,,,
0.352,109.12895847149788,612.8304814540479,,,,
0.362,109.11874200153568,614.7138152330153,,,,
0.372,109.1073110548614,616.2581171038618,,,,
0.382,109.09463979029526,617.4495292449651,,,,
0.392,109.08070974781076,618.2777921171878,,,,
0.402,109.06550742562688,618.732702126932,,,,
0.412,109.04902202989908,618.810098602057,,,,
0.422,109.09100481059204,618.5120378973202,,,,
0.432,109.13441975220891,617.8445084948081,,,,
0.442,109.17639642199362,616.8129483463757,,,,
0.452,109.2169216272714,615.4222423376223,,,,
0.462,109.25598127317932,613.6760358371109,,,,
0.472,109.2935591853406,611.577802838814,,,,
0.482,109.3296361405786,609.1291173560032,,,,
0.492,109.36418908746133,606.3291124003308,,,,
0.502,109.39719054487986,603.1737882763132,,,,
0.512,109.42860893107635,599.6612753264305,,,,
0.522,109.45840674471044,595.7868283550271,,,,
0.532,109.48653987176112,591.5504069288445,,,,
0.542,109.51296075570647,586.9595237255073,,,,
0.552,109.53761774935307,582.017530209675,,,,
0.562,109.56045401553816,576.7331043209874,,,,
0.572,109.58140886331014,571.1183453676326,,,,
0.582,109.60041837806595,565.1883180759785,,,,
0.592,109.6174161461598,558.9616936971056,,,,
0.602,109.63233405216626,552.460338020556,,,,
0.612,109.64510313065114,545.7089030781038,,,,
0.622,109.65565445004977,538.7357026277684,,,,
0.632,109.6639200267115,531.5709954926575,,,,
0.642,109.66983374055614,524.2484785191648,,,,
0.652,109.67333224503068,516.8026077353506,,,,
0.662,109.67435584002514,509.2687617101955,,,,
0.672,109.67284929753534,501.6794878042177,,,,
0.682,109.66876262008434,494.0672639989716,,,,
0.692,109.6620517225318,486.46409208799525,,,,
0.702,109.65267903989218,478.90155998870864,,,,
0.712,109.64061405302306,471.4102625316541,,,,
0.722,109.62583374354328,464.0203849773885,,,,
0.732,109.60832296103086,456.76014879923673,,,,
0.742,109.58807470528666,449.6563441364861,,,,
0.752,109.56509031093552,442.7337375863886,,,,
0.762,109.53937954021764,436.0147195327054,,,,
0.772,109.51096057681076,429.5192974044463,,,,
0.782,109.47985994522791,423.2648767830717,,,,
0.792,109.44611234320874,417.2663180890517,,,,
0.802,109.40976039855772,411.5359873721799,,,,
0.812,109.37085434961573,406.083289147185,,,,
0.822,109.3294516696277,400.9155075169326,,,,
0.832,109.2856166262414,396.037734714168,,,,
0.842,109.2394197982895,391.45267864677135,,,,
0.852,109.19093754318496,387.1614304792089,,,,
0.862,109.14025143539185,383.1626425239432,,,,
0.872,109.08744767641724,379.4537130593416,,,,
0.882,109.03261648846096,376.03041507171065,,,,
0.892,108.97585150180984,372.8881376991335,,,,
0.902,108.91724913876344,370.02010074228747,,,,
0.912,108.85690799994303,367.4198905460309,,,,
0.922,108.79492826311706,365.07947131153554,,,,
0.932,108.73141109793188,362.9902776647243,,,,
0.942,108.66645810803368,361.1442083217489,,,,
0.952,108.60017079973764,359.53263049984383,,,,
0.962,108.53265007655054,358.1456733567077,,,,
0.972,108.4639957702702,356.9737324700793,,,,
0.982,108.394306207538,356.0075365416385,,,,
0.992,108.3236778195544,355.2361730986554,,,,
1.002,108.25220477799456,354.65018644969103,,,,
1.012,108.17997867547857,354.23864217551454,,,,
1.022,108.10708824285632,353.99127818630467,,,,
1.032,108.03361911434922,353.89737663906703,,,,
1.042,107.95965363140915,353.94615711597805,,,,
1.052,107.88527067378146,354.12670520287065,,,,
1.062,107.81054552272968,354.428331214513,,,,
1.072,107.73554977343908,354.84027079328695,,,,
1.082,107.66035127683446,355.351750020779,,,,
1.092,107.5850141186013,355.95252419507864,,,,
1.102,107.50959862459788,356.63217558743384,,,,
1.112,107.43416140051625,357.3805092476693,,,,
1.122,107.35875539155094,358.1885014623185,,,,
1.132,107.2834299791735,359.04661780850097,,,,
1.142,107.20822766425822,359.9477121244257,,,,
1.152,107.13319119123418,360.8816022653387,,,,
1.162,107.0583634735658,361.8420247409161,,,,
1.172,106.98378088610173,362.82316029755793,,,,
1.182,106.909480658188,363.81722071741535,,,,
1.192,106.83549024867116,364.8259028605957,,,,
1.202,106.76183423389554,365.8334598893915,,,,
1.212,106.68854427178746,366.8570877467503,,,,
1.222,106.61564665009254,367.87359776161554,,,,
1.232,106.54316319054271,368.8910946974448,,,,
1.242,106.4711147176924,369.9094469319053,,,,
1.252,106.39952825984932,370.9312387942861,,,,
1.262,106.32842124235152,371.9513665707904,,,,
1.272,106.2578016640246,372.9786758847633,,,,
1.282,106.18768959481451,374.009339808577,,,,
1.292,106.11810662369378,375.05042047806126,,,,
