time,value,PowerTranfer,peak,mean,t_stablility,stability
0.0,140.0074083555076,4181.603032136888,147.66419811667058,141.28846125454723,48.385,0.0
0.01,140.00740830051174,4181.591691030481,,,,
0.02,140.00740807426877,4181.553906931753,,,,
0.03,140.0074076031263,4181.500919066597,,,,
0.04,140.0074068591727,4181.404107200826,,,,
0.05,140.0074058089932,4181.286976212846,,,,
0.06,140.00740441385446,4181.084346226948,,,,
0.07,140.00740262906592,4180.860329673292,,,,
0.08,140.00740040309762,4180.51017699773,,,,
0.09,140.0073976757518,4180.095956263085,,,,
0.1,140.00739438055658,4179.627788943571,,,,
0.105,140.00784891784576,1596.5687491188107,,,,
0.112,140.00905314388692,1563.7788736574762,,,,
0.122,140.01204390532084,1523.259380751958,,,,
0.132,140.01680104142815,1492.6228780600077,,,,
0.142,140.0233304517205,1469.3405352823436,,,,
0.152,140.03166042610502,1451.6992415503664,,,,
0.162,140.06596250371027,1438.4594887454905,,,,
0.172,140.34571772450172,1428.783774062966,,,,
0.18,140.6141355476906,1423.1282196088591,,,,
0.185,140.78496173114095,4026.039946766271,,,,
0.192,141.01557995213977,4073.155201749339,,,,
0.202,141.36567407460177,4148.711149577264,,,,
0.212,141.71929887932163,4226.3257157288845,,,,
0.222,142.0729795610824,4302.505359611549,,,,
0.232,142.42399352476718,4375.278076931721,,,,
0.242,142.77018375283137,4443.620437630297,,,,
0.252,143.10982484611603,4506.911656280977,,,,
0.262,143.4415252374497,4564.830449605527,,,,
0.272,143.76415755388106,4617.250970370717,,,,
0.282,144.07680339477474,4664.151513211826,,,,
0.292,144.3787118422632,4705.6046726408895,,,,
0.302,144.6692725977076,4741.741719999145,,,,
0.312,144.94798965829972,4772.702351253181,,,,
0.322,145.21445744655034,4798.650546568381,,,,
0.332,145.46834281826312,4819.754329708772,,,,
0.342,145.7093687562984,4836.18278778101,,,,
0.352,145.93730063551772,4848.100299708824,,,,
0.362,146.1519345792249,4855.6637048526445,,,,
0.372,146.3530877217753,4859.024812741241,,,,
0.382,146.5405901895336,4858.329632386306,,,,
0.392,146.71427865367764,4853.722540268971,,,,
0.402,146.873991347319,4845.34657936599,,,,
0.412,147.01956444076748,4833.346252206182,,,,
0.422,147.15082975410158,4817.869477367368,,,,
0.432,147.26761554795144,4799.077297151129,,,,
0.442,147.36974271899314,4777.124857524655,,,,
0.452,147.4570234762021,4752.188471248326,,,,
0.462,147.52927051670423,4724.464213800858,,,,
0.472,147.58629822923166,4694.147204432723,,,,
0.487,147.64287111815503,4644.329063679306,,,,
0.502,147.66419811667058,4589.954500696795,,,,
0.517,147.649760607358,4531.878319285569,,,,
0.532,147.59913382354185,4471.013703332939,,,,
0.547,147.51202448459205,4408.320108771365,,,,
0.562,147.38830330247873,4344.78205390981,,,,
0.577,147.2280440774221,4281.387128649122,,,,
0.592,147.03153052828944,4219.108983476443,,,,
0.607,146.7992753001919,4158.873120726395,,,,
0.622,146.53205236035058,4101.537873548964,,,,
0.637,146.2308969826874,4047.879605973607,,,,
0.652,145.89710895585273,3998.569822454458,,,,
0.667,145.5322502020155,3954.1633522748207,,,,
0.682,145.138137364895,3915.092414774876,,,,
0.697,144.71682950215157,3881.665576669476,,,,
0.712,144.27061142528802,3854.068425264655,,,,
0.727,143.80197329154285,3832.365415431864,,,,
0.742,143.313576375333,3816.508308304184,,,,
0.757,142.80824680717447,3806.324188965744,,,,
0.772,142.28894548278984,3801.5561046098974,,,,
0.787,141.75871430606168,3801.8544348040537,,,,
0.802,141.38941237962453,3806.7924757391374,,,,
0.817,141.46995444928007,3815.888706994361,,,,
0.832,141.5558326713635,3828.594573455408,,,,
0.847,141.6470857149291,3844.3227492524175,,,,
0.862,141.74370919509022,3862.461765282622,,,,
0.877,141.84565345209387,3882.38868068609,,,,
0.892,141.95282161200552,3903.480890420304,,,,
0.907,142.06506796209015,3925.1256942351847,,,,
0.922,142.18219666936525,3946.733221106684,,,,
0.937,142.30396084131485,3967.747877574924,,,,
0.952,142.43006198548096,3987.6630819727816,,,,
0.967,142.560149900875,4006.026087656309,,,,
0.982,142.6938230004933,4022.4448035635646,,,,
0.997,142.8306291162351,4036.587252026456,,,,
1.012,142.9700668133057,4048.182813969041,,,,
1.027,143.11158718147402,4057.02272859658,,,,
1.042,143.25459612709642,4062.96390279911,,,,
1.057,143.3984571849989,4065.929795637147,,,,
1.072,143.5424948362197,4065.905517088901,,,,
1.087,143.6859983246882,4062.93671303132,,,,
1.102,143.82822594054178,4057.126597055477,,,,
1.117,143.96840979163758,4048.628763532195,,,,
1.132,144.1057609729949,4037.654955884131,,,,
1.147,144.23947504200763,4024.453795325744,,,,
1.162,144.3687378744884,4009.320164736008,,,,
1.177,144.49273175485348,3992.5885704596326,,,,
1.192,144.61064171746827,3974.621337933704,,,,
1.207,144.7216621491333,3955.81503552834,,,,
1.222,144.82500332245883,3936.58088023349,,,,
1.237,144.91989789845468,3917.3339130528575,,,,
1.252,145.00560744003738,3898.4865442515775,,,,
1.267,145.08142878078272,3880.442551671862,,,,
1.282,145.14670018763687,3863.5875472692687,,,,
1.297,145.20080725024005,3848.284712080496,,,,
1.312,145.2431884197943,3834.867179962165,,,,
1.327,145.2733401371277,3823.631110723252,,,,
1.342,145.2908215233634,3814.8296160351865,,,,
1.357,145.29525856889276,3808.668718480432,,,,
1.372,145.28634792514066,3805.30382950423,,,,
1.387,145.26385991452,3804.838978088052,,,,
1.402,145.22764062561538,3807.327104380965,,,,
1.417,145.17761376867048,3812.770090084363,,,,
1.432,145.11378199001487,3821.120062318677,,,,
1.447,145.03622730552104,3832.281665773201,,,,
1.462,144.9451108728626,3846.1179942025374,,,,
1.477,144.84067212975577,3862.4459084609953,,,,
1.492,144.7468629716064,3881.049865573671,,,,
1.507,144.64861175888012,3901.679721085882,,,,
1.522,144.53643954685708,3924.060167696476,,,,
