time,value,PowerTranfer,peak,mean,t_stablility,stability
0.0,152.7127726770198,3643.83082172437,169.5834479733963,151.84844560616392,23.217,0.0
0.005,152.7127726791112,3643.8324735370397,,,,
0.01,152.71277269653925,3643.835040215192,,,,
0.017,152.71277276472986,3643.837913236292,,,,
0.027,152.71277295015273,3643.838754850638,,,,
0.037,152.71277335608534,3643.8354998445066,,,,
0.047,152.71277413804017,3643.8292845979263,,,,
0.057,152.71277534315453,3643.8201307126524,,,,
0.067,152.712776917229,3643.8080446486347,,,,
0.077,152.71277873161264,3643.792728069264,,,,
0.087,152.71278057582884,3643.774107332761,,,,
0.097,152.71278215498384,3643.7518277939926,,,,
0.1,152.71278246620352,3643.7431337051275,,,,
0.1,152.71278246620352,3643.7431337051275,,,,
0.102,152.7130207165746,2423.681528461823,,,,
0.107,152.71376985603507,1072.9611391480432,,,,
0.114,152.71552602555604,1061.1043608685868,,,,
0.124,152.71982519028595,1048.3688684297738,,,,
0.134,152.72688997402153,1041.5792421384308,,,,
0.144,152.73709169002976,1038.9325387732456,,,,
0.154,152.75077511491992,1039.2555111746017,,,,
0.164,152.76825165778075,1041.7717746668632,,,,
0.174,152.78982692575786,1045.9881008340549,,,,
0.18,152.80499282755915,1049.2290056604465,,,,
0.182,152.81195968112948,2368.5883517654693,,,,
0.187,152.82625728430614,3600.593980986352,,,,
0.194,152.84628359999851,3651.111210826506,,,,
0.204,152.87822776390854,3716.6288694713394,,,,
0.214,152.9130176880959,3769.223631149197,,,,
0.224,152.95070078297198,3812.332288034435,,,,
0.234,152.99140313869958,3848.357012378232,,,,
0.244,153.03528603137207,3878.9952709379686,,,,
0.254,153.0825685513477,3905.348452813517,,,,
0.264,153.1335005692174,3928.330784245668,,,,
0.274,153.18832086475035,3948.5429982561795,,,,
0.284,153.24729692343166,3966.4207124221257,,,,
0.294,153.31071235225696,3982.31579532842,,,,
0.304,153.3788293548437,3996.515658775912,,,,
0.314,153.4519102272745,4009.1588582023833,,,,
0.324,153.53020964968502,4020.4310813865077,,,,
0.334,153.61396996068362,4030.3911642337735,,,,
0.344,153.70342095993598,4039.1628427782925,,,,
0.354,153.79877699489705,4046.7648446626313,,,,
0.364,153.90024144230844,4053.279243521667,,,,
0.374,154.00799111464272,4058.7341171480894,,,,
0.384,154.1221900422069,4063.1653800538484,,,,
0.394,154.24298412819374,4066.605801819375,,,,
0.404,154.37050072212162,4069.0866342442287,,,,
0.414,154.50484832192694,4070.6415589137396,,,,
0.424,154.6461163510702,4071.3036980869992,,,,
0.439,154.8711395133479,4070.714142235509,,,,
0.454,155.11204409644336,4068.3320983305575,,,,
0.469,155.36889412404454,4064.304616151899,,,,
0.484,155.64162740455248,4058.79878387289,,,,
0.499,155.9301014407434,4051.995773908105,,,,
0.514,156.23407461041137,4044.0896706309695,,,,
0.529,156.55320615605717,4035.2831058929105,,,,
0.544,156.8870404822305,4025.7789741886904,,,,
0.559,157.23504131387278,4015.7880165370534,,,,
0.574,157.59659169218287,4005.5014374373504,,,,
0.589,157.97096205382664,3995.1045217780347,,,,
0.604,158.35732930642376,3984.765504410065,,,,
0.619,158.754779088448,3974.6296323034558,,,,
0.634,159.16231744389933,3964.8224789063875,,,,
0.649,159.5788551060854,3955.4289614656554,,,,
0.664,160.00321282918506,3946.5194497069815,,,,
0.679,160.43414528089622,3938.1335463729483,,,,
0.694,160.8703361207968,3930.285911469634,,,,
0.709,161.31040370511624,3922.9686510429415,,,,
0.724,161.7529075298521,3916.150723497496,,,,
0.739,162.19635521398047,3909.7837511064045,,,,
0.754,162.63921000850172,3903.8065988374155,,,,
0.769,163.07989879634295,3898.1505739868985,,,,
0.784,163.51682054054035,3892.7448961252976,,,,
0.799,163.94836352626515,3887.5231036447312,,,,
0.814,164.37289914159106,3882.4201991056716,,,,
0.829,164.78878984572663,3877.3858943764985,,,,
0.844,165.19441415547323,3872.3811130881472,,,,
0.859,165.58816943174168,3867.378730438727,,,,
0.874,165.9684816442974,3862.3658270515775,,,,
0.889,166.33381506448018,3857.3416258923617,,,,
0.904,166.68268181504456,3852.3173831112026,,,,
0.919,167.0136511952801,3847.3145868611036,,,,
0.934,167.32535815366919,3842.3632731084235,,,,
0.949,167.61651029082114,3837.500385063773,,,,
0.964,167.8858943733589,3832.768171959625,,,,
0.979,168.13238335911916,3828.212587202888,,,,
0.994,168.35494339697985,3823.881705566576,,,,
1.009,168.55264019607375,3819.825351173699,,,,
1.024,168.72464467302987,3816.093654955126,,,,
1.039,168.870237816001,3812.7381364009943,,,,
1.054,168.98881474516213,3809.809777746379,,,,
1.069,169.07988790503163,3807.3600535307805,,,,
1.084,169.14308935303697,3805.4400516565793,,,,
1.099,169.19239002658708,3804.101021755472,,,,
1.114,169.3148440270601,3803.3927502863303,,,,
1.137,169.45575557151676,3803.620292692187,,,,
1.159,169.54522465791834,3805.513822736226,,,,
1.182,169.5834479733963,3809.18507604547,,,,
1.182,169.582987220016,3809.3896875945343,,,,
1.187,169.58290051725092,3810.516811683195,,,,
1.194,169.57947188513128,3812.144624177111,,,,
1.204,169.56773263818783,3814.8306101766284,,,,
1.214,169.54616278131257,3817.8903659941743,,,,
1.224,169.51486627351593,3821.3188309218444,,,,
1.234,169.47395889383358,3825.1117442425716,,,,
1.244,169.42356764816466,3829.2612198152055,,,,
1.254,169.36383009859622,3833.757689378612,,,,
1.264,169.29489368108622,3838.587862704375,,,,
1.274,169.21691501616056,3843.7367437100684,,,,
1.284,169.13005921703535,3849.1859217391498,,,,
1.294,169.03449919935412,3854.9156372827324,,,,
1.309,168.87526443113939,3863.9819371554177,,,,
1.324,168.69748828221142,3873.541247428499,,,,
1.339,168.5018318440427,3883.5021510340757,,,,
1.354,168.2889790716773,3893.765388504936,,,,
1.369,168.0596322846355,3904.228184297858,,,,
1.384,167.81450789273234,3914.784268405904,,,,
1.399,167.55433244026057,3925.327927045475,,,,
1.414,167.27983898842697,3935.7545455079116,,,,
1.429,166.9917638508996,3945.9624208469595,,,,
1.444,166.6908436885538,3955.8539073668335,,,,
1.459,166.3778129651991,3965.33588111759,,,,
1.482,165.88726680038525,3978.5930232085693,,,,
1.504,165.3735447690738,3990.4733986534825,,,,
1.527,164.8390397365943,4000.7461613536666,,,,
1.549,164.28609489010597,4009.2148753282636,,,,
1.572,163.7169984504893,4015.7180222750644,,,,
1.594,163.1339805680379,4020.1283837214023,,,,
1.617,162.53921173962775,4022.3520312256856,,,,
1.639,161.93480212845594,4022.3273406325807,,,,
1.662,161.32280112940867,4020.0247468780635,,,,
1.684,160.70519678893365,4015.43871088556,,,,
1.707,160.08391460880821,4008.5980688805466,,,,
1.729,159.46081506046298,3999.5548419138554,,,,
1.752,158.83768970701988,3988.38619705869,,,,
1.785,157.90692936462685,3967.9001341429694,,,,
1.819,156.98535257288378,3943.2896015388596,,,,
1.853,156.07791354250526,3915.0563019199817,,,,
1.887,155.18900757737427,3883.769700727858,,,,
1.92,154.32238729793227,3850.038463692016,,,,
1.954,153.4810796245569,3814.4976371928105,,,,
1.988,152.66731627772126,3777.7302162450806,,,,
2.022,151.88247012240407,3740.4857570171034,,,,
2.055,151.1270171234548,3703.1752862288076,,,,
2.089,150.40055170255548,3666.4675440811084,,,,
2.123,149.9365721064358,3630.8803539911514,,,,
2.157,149.82963953537478,3596.933006776814,,,,
2.19,149.73541272860237,3565.1200116090786,,,,
2.224,149.64295162399927,3535.9083185189156,,,,
2.258,149.54155024100555,3509.7288640051593,,,,
2.292,149.42107491885446,3486.96486211073,,,,
2.325,149.27228990462686,3467.938795563574,,,,
2.359,149.0871583614359,3452.8940446488095,,,,
2.393,148.85910584186203,3441.9811094939178,,,,
2.427,148.58323381059517,3435.2408894794794,,,,
2.46,148.25649667851675,3432.5921659979354,,,,
2.494,147.87774442890583,3433.8294691176343,,,,
2.528,147.44770691433106,3438.6219065804735,,,,
2.562,146.96903130010028,3446.5177976686673,,,,
2.595,146.44614403923276,3456.967364124358,,,,
2.629,145.88500771137052,3469.3410585611236,,,,
2.663,145.29289940854127,3482.956895632724,,,,
2.697,144.67813394194917,3497.1083110278832,,,,
2.73,144.04975794402384,3511.091223298399,,,,
2.764,143.41723391415493,3524.2274068111637,,,,
2.798,142.79012839841357,3535.886861482892,,,,
2.832,142.1778175680356,3545.508313112471,,,,
2.865,141.58922063973512,3552.610782226857,,,,
2.899,141.03256978245628,3556.804926875915,,,,
2.933,140.51522169426647,3557.8005691487288,,,,
2.967,140.04351240706674,3555.411556069098,,,,
3.0,139.62265519205147,3549.558392475414,,,,
3.034,139.25667943395308,3540.269522656841,,,,
3.068,138.94840626822744,3527.679718401077,,,,
3.102,138.6994565668185,3512.0270013693753,,,,
3.135,138.51028545309472,3493.6469941582986,,,,
3.169,138.3802380464562,3472.9623656782383,,,,
3.203,138.30762308829426,3450.4721007635,,,,
3.237,138.28980007440558,3426.7366225813903,,,,
3.27,138.32327757717908,3402.3594467184707,,,,
3.304,138.403821923541,3377.9682484968216,,,,
3.338,138.52657445778738,3354.1934724814187,,,,
3.372,138.68617645314131,3331.647958337625,,,,
3.405,138.8769022419597,3310.906188419258,,,,
3.439,139.092800336503,3292.4854611894107,,,,
3.473,139.3278414491434,3276.8297054102068,,,,
3.507,139.57607185484704,3264.2968159715374,,,,
3.54,139.83176944543413,3255.1489750347564,,,,
3.574,140.08959915581457,3249.5477069578674,,,,
3.608,140.34476377590642,3247.5524223744173,,,,
3.642,140.59310580867805,3249.1205533659995,,,,
3.675,140.83134760917943,3254.1266446886043,,,,
3.709,141.05712589590303,3262.342109122099,,,,
3.743,141.26898097091038,3273.477576505292,,,,
3.777,141.46651710526498,3287.1792482343817,,,,
3.81,141.6503854784036,3303.046014000277,,,,
3.844,141.82225043843818,3320.645023864902,,,,
3.878,141.98472470772995,3339.526460613439,,,,
3.912,142.1412673421995,3359.241243384327,,,,
3.945,142.29604788038375,3379.348557492939,,,,
3.979,142.45378221991976,3399.4310520812296,,,,
4.013,142.61954690849717,3419.106253502211,,,,
4.047,143.1072337401033,3438.0323332511416,,,,
4.08,143.7954772033776,3455.9143228484345,,,,
4.114,144.49124753806242,3472.507557563704,,,,
4.148,145.19197352327222,3487.6194702993025,,,,
4.182,145.8949204347779,3501.1096112689547,,,,
4.215,146.59720661418837,3512.888883013922,,,,
4.249,147.295834784316,3522.9172956097227,,,,
4.283,147.98773770667958,3531.202509188008,,,,
4.317,148.6698362989259,3537.7941692760446,,,,
4.35,149.33910904362423,3542.790596821425,,,,
4.384,149.9926696129488,3546.316752159144,,,,
4.418,150.62784573884116,3548.536467566957,,,,
4.452,151.24225636402176,3549.6453290207396,,,,
4.485,151.83388395057906,3549.8590051775645,,,,
4.519,152.4011367782805,3549.4170040196195,,,,
4.553,152.94289923641284,3548.569151658544,,,,
4.587,153.45856654157393,3547.5727422991395,,,,
